1, Accio, 2020-06-05 20:00:01.000001
1, very old publication, 1999-08-15 00:00:00.000000
2, Publicación muy antigua, 1999-08-15 00:00:00.000000
3, Die Serie von sieben Romanen erzählt die Abenteuer, 1999-08-15 00:00:00.000000
4, Très vielle publication, 1999-08-15 00:00:00.000000
5, Très vielle publication, 1999-08-15 00:00:00.000000
6, Très vielle publication, 1999-08-15 00:00:00.000000
7, Très vielle publication, 1999-08-15 00:00:00.000000
8, Très vielle publication, 1999-08-15 00:00:00.000000
9, Très vielle publication, 1999-08-15 00:00:00.000000
10, Très vielle publication, 1999-08-15 00:00:00.000000
5, Allohomora, 2020-06-05 20:00:01.000002
4, Amplificatum, 2020-06-05 20:00:01.000003
6, Avada kedavra, 2020-06-05 20:00:01.000004
2, Collaporta, 2020-06-05 20:00:01.05
3, Crac badaboum, 2020-06-05 20:00:01.000006
7, Crache limace, 2020-06-05 20:00:01.000007
3, Croque cheville, 2020-06-05 20:00:01.000008
6, Destructum, 2020-06-05 20:00:01.000009
1, Diffinito, 2020-06-05 20:00:01.000010
5, Dissensium, 2020-06-05 20:00:01.000011
2, Ectoplasmus, 2020-06-05 20:00:01.000012
4, Elasticus, 2020-06-05 20:00:01.000013
3, Endoloris, 2020-06-05 20:00:01.000014
5, Enervatum, 2020-06-05 20:00:01.000015
1, Evanesco, 2020-06-05 21:30:01.000016
4, Expelliarmus, 2020-06-05 20:00:01.000017
6, Failamal, 2020-06-05 20:00:01.000018
7, Fera verta, 2020-06-05 20:00:01.000019
2, Flambois, 2020-06-05 21:30:01.000020
8, Flipendo, 2020-06-05 20:00:01.000021
9, Impédimenta, 2020-06-05 20:00:01.000022
1, Imperium, 2020-06-05 20:00:01.000023
8, Incarcerem, 2020-06-05 20:00:01.000024
10, Incendio, 2020-06-05 20:00:01.000025
2, Imobilis, 2020-06-05 21:30:01.000026
5, Légilimens, 2020-06-05 20:00:01.000027
6, Locomotor barda, 2020-06-05 20:00:01.000028
10, Lumos, 2020-06-05 20:00:01.000029
4, Lumus solem, 2020-06-05 20:00:01.000030
9, Mobilicorpus, 2020-06-05 20:00:01.000031
10, Morsmordre, 2020-06-05 21:30:01.000032
10, Mutismus, 2020-06-05 20:00:01.000033
2, Nox, 2020-06-05 20:00:01.000034
3, Oubliette, 2020-06-05 20:00:01.000035
7, Oqulus reparo, 2020-06-05 20:00:01.000036
3, Petrificus totalus, 2020-06-05 21:30:01.000037
8, Portus, 2020-06-05 20:00:01.000038
10, Prior incanta, 2020-06-05 20:00:01.000039
5, Protego, 2020-06-05 20:00:01.000040
10, Que ce vert d' eau se change en vert de rhum, 2020-06-05 20:00:01.000041
1, Recurvite, 2020-06-05 21:30:01.000042
4, Reducto, 2020-06-05 20:00:01.000043
6, Reparo, 2020-06-05 20:00:01.000044
9, Ridiculuce, 2020-06-05 20:00:01.000045
2, Rictuscempra, 2020-06-05 20:00:01.000046
9, Serpentasortia, 2020-06-05 21:30:01.000047
7, Silencio, 2020-06-05 20:00:01.000048
8, Soleil jonquille mimosa que ce vilain rat en jaune soit, 2020-06-05 20:00:01.000049
4, Sonorus, 2020-06-05 20:00:01.000050
6, Sourdinam, 2020-06-05 20:00:01.000051
9, Spero patronum, 2020-06-05 20:00:01.000052
3, Stupefix, 2020-06-05 21:30:01.000053
7, Tarrentallegra, 2020-06-05 20:00:01.000054
3, waddiwasi, 2020-06-05 20:00:01.000055
1, Wingardium leviosa, 2020-06-05 20:00:01.000056